city,iso_country_code,n_open_pre_pandemic,n_open_post_pandemic,delta,percentage_change,diversity_pre_pandemic_top_category,diversity_post_pandemic_top_category,diversity_pre_pandemic_sub_category,diversity_post_pandemic_sub_category,country,name,lat,lng
London,GB,65415.0,65138.0,-277.0,-0.4234502789879997,0.8617488111127745,0.8616745479007267,0.9248429944238807,0.9230463018447983,GB,London,51.50853,-0.12574
Istanbul,TR,58286.0,58417.0,131.0,0.22475380022646949,0.8842110261802458,0.8838268102773635,0.91995715324186,0.9201729474111215,TR,Istanbul,41.01384,28.94966
Los Angeles,US,36475.0,30430.0,-6045.0,-16.572995202193283,0.8605656719818516,0.8675066882840099,0.914875731226233,0.9216847757432433,US,Los Angeles,34.05223,-118.24368
Berlin,DE,35687.0,35741.0,54.0,0.15131560512231346,0.8106662990342482,0.8109264292412741,0.9439286451170461,0.9439864240371298,DE,Berlin,52.52437,13.41053
Warsaw,PL,35664.0,35670.0,6.0,0.016823687752355317,0.9009221922555788,0.9009060596507766,0.8940881097263786,0.894135903698188,PL,Warsaw,52.22977,21.01178
Paris,FR,34823.0,34829.0,6.0,0.017229991672170694,0.8256505250613968,0.8259337797666553,0.8576619479535741,0.8578442067360781,FR,Paris,48.85341,2.3488
Houston,US,32799.0,28879.0,-3920.0,-11.951583889752735,0.8635074743705489,0.8715151431886883,0.923474813789501,0.9302235645774962,US,Houston,37.32616,-91.95599
Madrid,ES,29045.0,29097.0,52.0,0.17903253572043382,0.8749095509870192,0.8744066502892982,0.9110489890971819,0.9112515669101184,ES,Madrid,40.4165,-3.70256
Chicago,US,25289.0,20702.0,-4587.0,-18.138321009134405,0.8088575203863317,0.8252911446989529,0.891278155345963,0.9063992675660439,US,Chicago,41.85003,-87.65005
Toronto,CA,22017.0,16625.0,-5392.0,-24.49016668937639,0.8070832206598161,0.8419719110373953,0.8889114922865438,0.9157606573509327,CA,Toronto,43.70011,-79.4163
Barcelona,ES,20465.0,20476.0,11.0,0.0537503053994625,0.8694053340459769,0.8691977249338378,0.9015944371100455,0.9016896937368473,ES,Barcelona,41.38879,2.15899
Hamburg,DE,19834.0,19822.0,-12.0,-0.06050216799435314,0.858310490126434,0.8581785824419514,0.9519393922024341,0.9518920429111563,DE,Hamburg,53.55073,9.99302
Rome,IT,19133.0,19118.0,-15.0,-0.0783985783724455,0.8680487116281751,0.8679464565166723,0.8925703307312243,0.8924532371530329,IT,Rome,41.89193,12.51133
Kraków,PL,18087.0,18119.0,32.0,0.17692265162824128,0.8667141515980905,0.8663081606479056,0.8484368687733352,0.848864953631021,PL,Kraków,50.06143,19.93658
